Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00019565,-0.00016231,0.057496,0,0,0,2.8142,0.0031136,-4.9945E-07,4.7914E-05,0.0029365,8.9155E-07,0.0026818,0,0,0,0,0,0,package://qa01_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/base_link.STL,,base_link-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.3791E-05,0.030742,0.030107,0,0,0,0.7547,0.00097955,1.0431E-06,4.3103E-07,0.00091672,-0.00025756,0.0008983,0,0,0,0,0,0,package://qa01_description/meshes/Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link1.STL,,Link1-1,坐标系1,基准轴1,Joint1,revolute,-0.00010406,0,0.1065,0,0,0,base_link,0,0,-1,40,20,-3.14,3.14,,,,,,,,
Link2,-0.18479,-0.046183,0.003242,0,0,0,6.7869,0.0050206,-0.00022611,0.00084336,0.056029,-1.3155E-06,0.055819,0,0,0,0,0,0,package://qa01_description/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link2.STL,,Link2-1,坐标系2,基准轴2,Joint2,revolute,0,0.0412,0.058,0,0,0,Link1,0,-1,0,40,20,-3.14,3.14,,,,,,,,
Link3,0.078459,-0.026984,0.071435,0,0,0,3.1428,0.0031768,0.00021674,-0.00099646,0.005396,0.00024749,0.003895,0,0,0,0,0,0,package://qa01_description/meshes/Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link3.STL,,Link3-1,坐标系3,基准轴3,Joint3,revolute,-0.40994,-0.0095,0.0068851,0,0,0,Link2,0,-1,0,40,20,-3.14,3.14,,,,,,,,
Link4,0.19593,-0.0045978,-0.0032786,0,0,0,3.5217,0.0024215,-0.00014283,0.00017413,0.012898,4.3928E-06,0.012748,0,0,0,0,0,0,package://qa01_description/meshes/Link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link4.STL,,Link4-1,坐标系4,基准轴4,Joint4,revolute,0.14291,-0.0315,0.082612,0,0,0,Link3,-0.99986,0,0.016793,40,20,-3.14,3.14,,,,,,,,
Link5,0.077685,-0.029029,-0.0013708,0,0,0,2.8379,0.0019352,0.00025154,1.9753E-05,0.0035651,-5.9651E-06,0.003187,0,0,0,0,0,0,package://qa01_description/meshes/Link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link5.STL,,Link5-1,坐标系5,基准轴5,Joint5,revolute,0.24926,0.0355,-0.0041864,0,0,0,Link4,0,-1,0,40,20,-3.14,3.14,,,,,,,,
Link6,0.083496,0.0006627,-0.0088587,0,0,0,2.9064,0.0014442,-1.915E-06,0.00034941,0.0033645,1.6152E-06,0.0031518,0,0,0,0,0,0,package://qa01_description/meshes/Link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link6.STL,,Link6-1;Gripper1-1,坐标系6,基准轴6,Joint6,revolute,0.13148,-0.0355,-0.0022083,0,0,0,Link5,-0.99986,0,0.016793,40,20,-3.14,3.14,,,,,,,,
Link7,0.055531,-0.032158,0.005474,0,0,0,1.0569,0.00036595,-1.0269E-05,0.00031068,0.0017974,1.4328E-06,0.0016977,0,0,0,0,0,0,package://qa01_description/meshes/Link7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://qa01_description/meshes/Link7.STL,,Gripper2-1,坐标系7,基准轴7,Joint7,revolute,0.10136,0.0322,0.020301,0,0,0,Link6,0,-1,0,40,20,-3.14,3.14,,,,,,,,
