Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0245,1.2081E-05,0.087704,0,0,0,52.11,0.24895,0.00013269,-0.0050593,0.3729,-3.2127E-05,0.34855,0,0,0,0,0,0,package://xb4_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/base_link.STL,,XB4-base-A-1/XB4-base-A_3-1,坐标系2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.011449,0.00070297,0.079628,0,0,0,28.663,0.209,-0.00046488,-0.026126,0.15579,-0.0012509,0.15718,0,0,0,0,0,0,package://xb4_description/meshes/Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link1.STL,,XB4-yao-A-1,坐标系1,基准轴1,Joint1,revolute,0.00098343,0,0.184,0,0,0,base_link,0,0,-1,20,40,-3.14,3.14,,,,,,,,
Link2,-0.010007,0.049583,0.11809,0,0,0,31.841,0.38868,7.3853E-05,0.0047598,0.32881,-0.0043661,0.1148,0,0,0,0,0,0,package://xb4_description/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link2.STL,,XB4-dabi-A-1,坐标系3,基准轴2,Joint2,revolute,0.040007,-0.0495,0.155,0,0,0,Link1,0,-1,0,20,40,-3.14,3.14,,,,,,,,
Link3,0.0067255,0.056241,0.010623,0,0,0,15.368,0.032143,-0.00018372,-0.0049172,0.048616,-5.9262E-05,0.044126,0,0,0,0,0,0,package://xb4_description/meshes/Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link3.STL,,XB4-xiaobihou-A-1,坐标系4,基准轴4,Joint3,revolute,0,-0.008,0.275,0,0,0,Link2,-1,0,0,20,40,-3.14,3.14,,,,,,,,
Link4,0.080048,0.00019844,0.00018069,0,0,0,13.118,0.023976,-0.0005894,0.00011166,0.049908,5.1715E-06,0.055207,0,0,0,0,0,0,package://xb4_description/meshes/Link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link4.STL,,XB4-xiaobiqian-Alogo-1,坐标系5,基准轴4,Joint4,revolute,0.09718,0.0575,0.024999,0,0,0,Link3,-1,0,0,20,40,-3.14,3.14,,,,,,,,
Link5,0.014859,-0.033648,7.8205E-05,0,0,0,3.0282,0.0019642,-4.6957E-05,-3.4436E-06,0.0034401,-1.1677E-07,0.0033234,0,0,0,0,0,0,package://xb4_description/meshes/Link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link5.STL,,XB4-shouwan-A-1,坐标系6,基准轴5,Joint5,revolute,0.18282,0.0325,0,0,0,0,Link4,0,-1,0,20,40,-3.14,3.14,,,,,,,,
Link6,0.0045911,5.7515E-08,-0.0002189,0,0,0,0.077253,1.734E-05,2.7594E-20,3.2231E-08,9.1859E-06,2.296E-19,9.4556E-06,0,0,0,0,0,0,package://xb4_description/meshes/Link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xb4_description/meshes/Link6.STL,,XB4-shuchu-A-1,坐标系7,基准轴6,Joint6,revolute,0.063,-0.0325,0,0,0,0,Link5,-1,0,0,20,40,-3.14,3.14,,,,,,,,
